frame,t_s,s_m,x,y,z,speed_ms,speed_kph,curvature,heading_rad,accel_long_ms2,accel_lat_ms2,wheel_rot_rad,steer_norm,pitch_rad,roll_rad,wheelspin
88,3.666667,54.0758,57.0958,0.0000,0.0000,33.51941,120.670,0.0000000,0.000000,10.7013,0.0000,159.35046,0.00000,-0.009961,0.000000,0
89,3.708333,55.4830,58.5030,0.0000,0.0000,33.96531,122.275,0.0000000,0.000000,10.7016,0.0000,163.25926,0.00000,-0.009962,0.000000,0
90,3.750000,56.9087,59.9287,0.0000,0.0000,34.41121,123.880,0.0000000,0.000000,10.7019,0.0000,167.21968,0.00000,-0.009962,0.000000,0
91,3.791667,58.3531,61.3731,0.0000,0.0000,34.85714,125.486,0.0000000,0.000000,10.7022,0.0000,171.23178,0.00000,-0.009962,0.000000,0
92,3.833333,59.8161,62.8361,0.0000,0.0000,35.30307,127.091,0.0000000,0.000000,10.7025,0.0000,175.29570,0.00000,-0.009962,0.000000,0
93,3.875000,61.2978,64.3178,0.0000,0.0000,35.74901,128.696,0.0000000,0.000000,11.0678,0.0000,179.41150,0.00000,-0.010302,0.000000,0
94,3.916667,62.7955,65.7193,0.4074,0.0000,36.22539,130.411,0.0000000,0.000000,11.5182,0.0000,183.57173,0.00000,-0.010722,0.000000,0
95,3.958333,64.3125,67.1164,0.9158,0.0000,36.70886,132.152,0.0000000,0.000000,11.6036,0.0000,187.78579,0.00000,-0.010801,0.000000,0
96,4.000000,65.8498,68.5321,1.4310,0.0000,37.19236,133.892,0.0000000,0.000000,11.6040,0.0000,192.05591,0.00000,-0.010801,0.000000,0
97,4.041667,67.4072,69.9664,1.9530,0.0000,37.67586,135.633,0.0000000,0.000000,11.6043,0.0000,196.38210,0.00000,-0.010802,0.000000,0
98,4.083333,68.9848,71.4192,2.4817,0.0000,38.15938,137.374,0.0000000,0.000000,11.6046,0.0000,200.76420,0.00000,-0.010802,0.000000,0
99,4.125000,70.5824,72.8905,3.0171,0.0000,38.64291,139.114,0.0000000,0.000000,11.6049,0.0000,205.20213,0.00000,-0.010802,0.000000,0
100,4.166667,72.2003,74.3804,3.5594,0.0000,39.12645,140.855,0.0000000,0.000000,11.6051,0.0000,209.69635,0.00000,-0.010803,0.000000,0
101,4.208333,73.8383,75.8889,4.1083,0.0000,39.61000,142.596,0.0000000,0.000000,11.6054,0.0000,214.24629,0.00000,-0.010803,0.000000,0
102,4.250000,75.4965,77.4160,4.6641,0.0000,40.09357,144.337,0.0000000,0.000000,11.6057,0.0000,218.85245,0.00000,-0.010803,0.000000,0
103,4.291667,77.1749,78.9616,5.2266,0.0000,40.57714,146.078,0.0000000,0.000000,11.6059,0.0000,223.51451,0.00000,-0.010803,0.000000,0
104,4.333333,78.8733,80.5257,5.7958,0.0000,41.06072,147.819,0.0000000,0.000000,11.6061,0.0000,228.23250,0.00000,-0.010803,0.000000,0
